# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.05413 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       4.062494322372e+01 
       1.294409008721e-05       5.114370213631e+01 
       1.629564394334e-05       6.438595014773e+01 
       2.051500026182e-05       8.105678870572e+01 
       2.582685515258e-05       1.020438125122e+02 
       3.251408425830e-05       1.284642859317e+02 
       4.093280691400e-05       1.617244255807e+02 
       5.153135080009e-05       2.035939553468e+02 
       6.487412702632e-05       2.562995676732e+02 
       8.167168708139e-05       3.226420416825e+02 
       1.028185622909e-04       4.061424485898e+02 
       1.294409008721e-04       5.112238515609e+02 
       1.629564394334e-04       6.434354567818e+02 
       2.051500026182e-04       8.097259344976e+02 
       2.582685515258e-04       1.018770883045e+03 
       3.251408425830e-04       1.281354850225e+03 
       4.093280691400e-04       1.610800025260e+03 
       5.153135080009e-04       2.023421820608e+03 
       6.487412702632e-04       2.538977428220e+03 
       8.167168708139e-04       3.181050379337e+03 
       1.028185622909e-03       3.977242047031e+03 
       1.294409008721e-03       4.958843901431e+03 
       1.629564394334e-03       6.159573344031e+03 
       2.051500026182e-03       7.613465369547e+03 
       2.582685515258e-03       9.350169539477e+03 
       3.251408425830e-03       1.138831398430e+04 
       4.093280691400e-03       1.372582418107e+04 
       5.153135080009e-03       1.632617965490e+04 
       6.487412702632e-03       1.910105484152e+04 
       8.167168708139e-03       2.189513777942e+04 
       1.028185622909e-02       2.445334541383e+04 
       1.294409008721e-02       2.642155752296e+04 
       1.629564394331e-02       2.734157719018e+04 
       2.051500008419e-02       2.675061785752e+04 
       2.582672276973e-02       2.439776002780e+04 
       3.249607424798e-02       2.063795615570e+04 
       4.034271267166e-02       1.682408159002e+04 
       4.693318991710e-02       1.465266710487e+04 
       5.171732747458e-02       1.360005578079e+04 
       5.566652676067e-02       1.295510046391e+04 
       5.919448172593e-02       1.247497817673e+04 
       6.248591393421e-02       1.205792786190e+04 
       6.563871848727e-02       1.164980178639e+04 
       6.871164731817e-02       1.122189635027e+04 
       7.174331877643e-02       1.076183477139e+04 
       7.476096442212e-02       1.026317776804e+04 
       7.778491007956e-02       9.731866909746e+03 
       8.083106741797e-02       9.177496413313e+03 
       8.391241104852e-02       8.613458809364e+03 
       8.703990033691e-02       8.057733582297e+03 
       9.022307926291e-02       7.526707771039e+03 
       9.347048046352e-02       7.036333998720e+03 
       9.678990524986e-02       6.599070602690e+03 
       1.001886222721e-01       6.222729839308e+03 
       1.036735111666e-01       5.910154351257e+03 
       1.072511679766e-01       5.658355316498e+03 
       1.109279833762e-01       5.458838978022e+03 
       1.147102011423e-01       5.297869370149e+03 
       1.186039620426e-01       5.158128335070e+03 
       1.226153368240e-01       5.019664369539e+03 
       1.267503510158e-01       4.863651789634e+03 
       1.310150036126e-01       4.676052189640e+03 
       1.354152812724e-01       4.450486277776e+03 
       1.399571693792e-01       4.190051819354e+03 
       1.446466611302e-01       3.908004331544e+03 
       1.494897656872e-01       3.623542826317e+03 
       1.544925163510e-01       3.358013778804e+03 
       1.596609796727e-01       3.128936530397e+03 
       1.650012663827e-01       2.945827786334e+03 
       1.705195449989e-01       2.807971872475e+03 
       1.762220589654e-01       2.704086407268e+03 
       1.821151481601e-01       2.616986297914e+03 
       1.882052756108e-01       2.524536616104e+03 
       1.944990602566e-01       2.409570153351e+03 
       2.010033166097e-01       2.267546365586e+03 
       2.077251022017e-01       2.107956744035e+03 
       2.146717737577e-01       1.948835013926e+03 
       2.218510531358e-01       1.807633340507e+03 
       2.292711042179e-01       1.695218756082e+03 
       2.369406221479e-01       1.610976767417e+03 
       2.448689366170e-01       1.542655615690e+03 
       2.530661313066e-01       1.473693771633e+03 
       2.615431821533e-01       1.392367314716e+03 
       2.703121178459e-01       1.298480184989e+03 
       2.793862069382e-01       1.202860255748e+03 
       2.887801772645e-01       1.119015592449e+03 
       2.985104750560e-01       1.052082560891e+03 
       3.085955734480e-01       9.971480139881e+02 
       3.190563431372e-01       9.434342805207e+02 
       3.299165021132e-01       8.839349188063e+02 
       3.412031671062e-01       8.213159439899e+02 
       3.529475373420e-01       7.631893142832e+02 
       3.651857524131e-01       7.143000606223e+02 
       3.779599821545e-01       6.709962275971e+02 
       3.913198298620e-01       6.274343338124e+02 
       4.053241650187e-01       5.823961106151e+02 
       4.200435544926e-01       5.398529763700e+02 
       4.355635429902e-01       5.020215154355e+02 
       4.519891634850e-01       4.665745680213e+02 
       4.694512703745e-01       4.309791906002e+02 
       4.881156447239e-01       3.966782683006e+02 
       5.081964414488e-01       3.651204967242e+02 
       5.299766700918e-01       3.343923392777e+02 
       5.538405189622e-01       3.043478367179e+02 
       5.803265340138e-01       2.757281642188e+02 
       6.102194791087e-01       2.475360204209e+02 
       6.447184049767e-01       2.198839816774e+02 
       6.857656209771e-01       1.922794714750e+02 
       7.367420631734e-01       1.643718217319e+02 
       8.040554955073e-01       1.355084353880e+02 
       9.008920713074e-01       1.051218584557e+02 
       1.054131583796e+00       7.368104898852e+01 
